review_bucket,review_priority,display_reason,review_decision,verification_status,seed_name,resolved_google_name,google_types,google_maps_url,google_place_id,highway_name,route_context,region,proxy_type,cleanliness_tier,source_category,restroom_confidence,distance_from_highway_meters,local_notes,source_evidence,id,matched_at,updated_at
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Parambithara Bridge,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=11679514237175407425&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJf7RoQvVyCDsRQSP1Z1H4FaI,NH-966B,Alexander Parambithara Bridge,India,premium_lavatory,tier_1,premium_restroom,0.95,0,Premium AC lavatory service,Premium AC lavatory service,da8e5a25-1e8e-4030-ad80-4a64d74e76a1,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,National Highway 160A,route,https://maps.google.com/?cid=17406172582697763717&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJa9BV2wG73TsRhQPY-r0lj_E,NH-160A,Maharashtra State Highway 21,India,premium_lavatory,tier_1,premium_restroom,0.95,7,Premium AC lavatory service,Premium AC lavatory service,260da286-96b3-48ea-af3c-bc7724deb9ce,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Dr. Bhupen Hazarika Setu,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=14968610873532190504&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJeUdCtEkBPzcRKI_vSUgwu88,NH-115,Bhupen Hazarika Setu,India,premium_lavatory,tier_1,premium_restroom,0.95,12,Premium AC lavatory service,Premium AC lavatory service,6b581da1-2c00-41d5-adff-f5319723ab4f,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Dr. Bhupen Hazarika Setu view point,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=506898239488659260&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJc_KAR-0APzcRPA_-XUPdCAc,NH-115,Bhupen Hazarika Setu,India,premium_lavatory,tier_1,premium_restroom,0.95,22,Premium AC lavatory service,Premium AC lavatory service,704fcd5e-0d62-4ff1-9b15-f1671044b080,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,New vikramshila setu,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=8190614496530625773&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJIaP2VQA38DkR7XTfJX3oqnE,NH-131B,Vikramsila Setu,India,premium_lavatory,tier_1,premium_restroom,0.95,26,Premium AC lavatory service,Premium AC lavatory service,f7b4cf1e-7a3e-4487-ad06-e7064843438d,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Bhupen Hazarika Bridge,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=16460037859307048594&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ3STzKmWrPzcRkk56WTnNbeQ,NH-115,Bhupen Hazarika Setu,India,premium_lavatory,tier_1,premium_restroom,0.95,29,Premium AC lavatory service,Premium AC lavatory service,c6e2ec27-19ab-47d3-a143-9438479df758,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,National Highway 701A,route,"https://maps.google.com/?q=NH701A,+Bandi+Bala&ftid=0x38e1077ccf44113f:0xd63cd1292b62f752&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",EhJOSDcwMUEsIEJhbmRpIEJhbGEiLiosChQKEgk_EUTPfAfhOBFS92IrKdE81hIUChIJqx9g5Hev4TgRhgAK6OMbSFQ,NH-701A,Babareshi Road,India,premium_lavatory,tier_1,premium_restroom,0.95,55,Premium AC lavatory service,Premium AC lavatory service,2649bab8-16ac-4b60-a371-da01a4db2c71,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,AHMEDNAGAR FLYOVER,point_of_interest|establishment,https://maps.google.com/?cid=13868266848138315071&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ6Y4j-OWx3DsRP0WcnTj7dcA,,Ahmednagar Flyover,India,premium_lavatory,tier_1,premium_restroom,0.95,106,Premium AC lavatory service,Premium AC lavatory service,fcdd51ae-0ebc-4370-8c2a-382f8e3eedc4,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Mathura Toll Tax .Taj Express way.,toll_station|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=10758698139763970214&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJAQAwjbJoczkRppBJwvSSTpU,Yamuna Expressway,Greater Noida-Agra,North India,premium_lavatory,tier_1,premium_restroom,0.95,140,Premium AC lavatory service,Premium AC lavatory service,e0ecb5a9-1efe-4d7b-bf8d-5520538bfc60,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Banbasa Barrage,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=750435099379543010&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ8Sc0TC6roTkR4quANb8Uago,NH-109D,Banbasa Barrage,India,premium_lavatory,tier_1,premium_restroom,0.95,161,Premium AC lavatory service,Premium AC lavatory service,3f2c4fcc-5233-401f-bdcc-5f3dd19ce5c2,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Amona Bridge,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=16762226603079539953&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ0X9Gv7q9vzsR8ZwoEUlkn-g,NH748AA,Amona Bridge,India,premium_lavatory,tier_1,premium_restroom,0.95,173,Premium AC lavatory service,Premium AC lavatory service,2f00a1ca-c2e3-4bfc-9956-429926b2aab5,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Ahmednagar Flyover,transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=11791341727320216295&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJj-v-FG-x3DsR55Ip6tNCo6M,,Ahmednagar Flyover,India,premium_lavatory,tier_1,premium_restroom,0.95,493,Premium AC lavatory service,Premium AC lavatory service,7f1b96c5-a43e-45f5-844b-3c703138d477,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Chaupula Cut on Agra Lucknow Exp way,toll_station|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=13393608629352779639&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJb4WdlALldTkRd88tBRao37k,Agra-Lucknow Expressway,Agra-Lucknow,North India,premium_lavatory,tier_1,premium_restroom,0.95,602,Premium AC lavatory service,Premium AC lavatory service,e6ca0d9b-1bfe-41b0-8be3-3f40c73d68f7,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Baralokpur Chaupula Etawah Toll Plaza Agra Lucknow Expressway,toll_station|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=17564868694450116741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJecRI8gvldTkRhRgU0wPzwvM,Agra-Lucknow Expressway,Agra-Lucknow,North India,premium_lavatory,tier_1,premium_restroom,0.95,671,Premium AC lavatory service,Premium AC lavatory service,b61d492a-234d-4d60-b549-54022a9b8a53,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Yamuna Expressway Yamuna Bridge,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=2707193912413974055&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJh221x9dvczkRJ-6IH4XikSU,Yamuna Expressway,Greater Noida-Agra,North India,premium_lavatory,tier_1,premium_restroom,0.95,867,Premium AC lavatory service,Premium AC lavatory service,27a86669-96d5-4843-860a-46deb313429a,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,Lavato,Krishnagiri Toll Plaza,toll_station|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=42800275916815433&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJO_tzhGHNrTsRSXxPyp8OmAA,NH-44,Krishnagiri toll plaza,South India,premium_lavatory,tier_1,premium_restroom,0.95,872,Premium AC lavatory with controlled access near toll plaza,Premium AC lavatory with controlled access near toll plaza,4824f90b-68f5-46d6-a283-3830b5c382c6,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 134,route,https://maps.google.com/?cid=16265540482290032664&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJO_n3_ZrpCDkRGCCi3uPOuuE,NH-134,NH-134,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,0,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,c6a36f57-4c4d-40d6-8168-3cce8d944c2d,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 419,route,https://maps.google.com/?cid=3877757524768764831&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJaWx73sPf9jkRn7PwbOyP0DU,NH-419,NH-419,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,1,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,b3187be8-310d-4944-a4ce-27da6715d395,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 516F,route,"https://maps.google.com/?q=NH+516F,+Kakinada,+Andhra+Pradesh,+India&ftid=0x3a378732015b7075:0x5f34bfe2d9b44281&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",EihOSCA1MTZGLCBLYWtpbmFkYSwgQW5kaHJhIFByYWRlc2gsIEluZGlhIi4qLAoUChIJdXBbATKHNzoRgUK02eK_NF8SFAoSCfe0Wa_dJzg6EQNImsi53fiS,NH-516F,Kakinada - Rajanagaram (ADB) Road,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,1,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,a7d083c2-7174-44e1-979c-586b55812087,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 716A,route,"https://maps.google.com/?q=NH+716A,+Puttur,+Andhra+Pradesh,+India&ftid=0x3a4d5a07e52dc44f:0xd7747e306dd318b0&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",EiZOSCA3MTZBLCBQdXR0dXIsIEFuZGhyYSBQcmFkZXNoLCBJbmRpYSIuKiwKFAoSCU_ELeUHWk06EbAY020wfnTXEhQKEglBa4xwolBNOhEeiXpTTtAXwA,NH-716A,Puttur - Uthukottai - Janappanchatram Road,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,1,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,2777aba0-6d13-4b3c-98ea-829c156cf560,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 351K,route,https://maps.google.com/?cid=1018204779014336422&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJRVdQ2H-d4jsRpi_BEdpjIQ4,NH-351K,SH104,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,2,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,6d981678-61cb-4467-af85-6514cda163da,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 333A,route,https://maps.google.com/?cid=4843064239326064028&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJqcy7V29d8jkRnG1tGUQFNkM,NH-333A,NH-333A,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,6,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,1f0652a4-1f1e-4969-8101-324ecaa3e84f,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 907G,route,https://maps.google.com/?cid=8355627290278595217&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ5Z30ybj7DjkRkYqdIMAm9XM,NH-907G,NH-907G,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,6,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,5928be72-d2e5-47be-82a7-0fea3d87adb2,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 138,route,https://maps.google.com/?cid=6271395637981956934&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJrd6trivwAzsRRkvZ_xp5CFc,NH-138,NH-138,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,11,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,c714acbc-eee1-4744-8a79-06f37f93532c,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 519,route,https://maps.google.com/?cid=11760427053224931156&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ63jgKA-TnTkRVK9dchhuNaM,NH-519,old NH2A,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,12,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,240be1bd-7661-4057-b71a-a35878bbe83d,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
road_object_quarantine,1,road_object_quarantine,,likely_clean,PATH Recharge,National Highway 427,route,https://maps.google.com/?cid=12040696334137872878&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJI4WSa_B1WTcR7tGihIUlGac,NH-427,NH-427,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,13,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,8f342de1-7124-42cb-b023-14e1013b4d0e,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
