map_bucket,verification_status,seed_name,google_place_id,google_maps_place_id_url,highway_name,route_context,region,proxy_type,cleanliness_tier,source_category,restroom_confidence,distance_from_highway_meters,local_notes,source_evidence,id,matched_at,updated_at
public_candidate,likely_clean,Lavato,ChIJ6Y4j-OWx3DsRP0WcnTj7dcA,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ6Y4j-OWx3DsRP0WcnTj7dcA,,Ahmednagar Flyover,India,premium_lavatory,tier_1,premium_restroom,0.95,106,Premium AC lavatory service,Premium AC lavatory service,fcdd51ae-0ebc-4370-8c2a-382f8e3eedc4,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
public_candidate,likely_clean,Lavato,ChIJj-v-FG-x3DsR55Ip6tNCo6M,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJj-v-FG-x3DsR55Ip6tNCo6M,,Ahmednagar Flyover,India,premium_lavatory,tier_1,premium_restroom,0.95,493,Premium AC lavatory service,Premium AC lavatory service,7f1b96c5-a43e-45f5-844b-3c703138d477,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
public_candidate,likely_clean,PATH Recharge,ChIJ5dVy-2Ow3DsRvPLBz1IAHdQ,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5dVy-2Ow3DsRvPLBz1IAHdQ,,Ahmednagar Flyover,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,813,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,02e9e1d3-7498-4c17-b111-556ac11e7334,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
public_candidate,likely_clean,PATH Recharge,ChIJT2tiHRqx3DsRkhjANJLD50w,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJT2tiHRqx3DsRkhjANJLD50w,,Ahmednagar Flyover,India,wayside_amenity,tier_1,official_wayside_amenity,0.88,977,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,c7a9ac05-888a-4710-8cd6-654d943e76a9,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
public_candidate,likely_clean,Jio-bp,ChIJKf60BPew3DsRM9-MQ3jlQhM,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJKf60BPew3DsRM9-MQ3jlQhM,,Ahmednagar Flyover,India,fuel_cafe,tier_1,premium_fuel_program,0.82,1844,Modern mobility station with sanitized washrooms,Modern mobility station with sanitized washrooms,d82e4da9-2948-4754-a3e8-5c924f2503c5,2026-05-13T15:27:48.673+00:00,2026-05-13T15:27:48.673+00:00
public_candidate,likely_clean,Highway Nest,ChIJAa9WkMjPdTkRTmFsZFl6-J4,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJAa9WkMjPdTkRTmFsZFl6-J4,Agra-Lucknow Expressway,Agra-Lucknow,North India,wayside_amenity,tier_1,official_wayside_amenity,0.9,240,NHAI official traveller amenity format at national highway toll plazas,NHAI official traveller amenity format at national highway toll plazas,28af31d3-6d0f-4913-adff-97aaf8fa6545,2026-05-10T18:48:29.186+00:00,2026-05-10T18:48:29.186+00:00
public_candidate,likely_clean,PATH Recharge,ChIJ41f9_23_mzkRz3-jkGYqRfc,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ41f9_23_mzkRz3-jkGYqRfc,Agra-Lucknow Expressway,Agra-Lucknow,North India,wayside_amenity,tier_1,official_wayside_amenity,0.88,286,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,4d434797-46cf-49b9-82a5-7a0f246cbc09,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,PATH Recharge,ChIJr60CT6d3dDkRp-DVK_02GlM,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJr60CT6d3dDkRp-DVK_02GlM,Agra-Lucknow Expressway,Agra-Lucknow,North India,wayside_amenity,tier_1,official_wayside_amenity,0.88,291,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,4d753ba8-7b2b-492a-a744-49ebfd81d78a,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,PATH Recharge,ChIJAUjqlNJwdDkRQNgToZ5amJY,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJAUjqlNJwdDkRQNgToZ5amJY,Agra-Lucknow Expressway,Agra-Lucknow,North India,wayside_amenity,tier_1,official_wayside_amenity,0.88,336,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,92c30d7c-5c12-4ac8-8a8f-6c40e8a6dc7c,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,PATH Recharge,ChIJPzNTIfRxdDkRmnbdSmwVy7c,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJPzNTIfRxdDkRmnbdSmwVy7c,Agra-Lucknow Expressway,Agra-Lucknow,North India,wayside_amenity,tier_1,official_wayside_amenity,0.88,576,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,7d06f646-fdd4-4890-973b-6fbb0791c3c8,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,Lavato,ChIJb4WdlALldTkRd88tBRao37k,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJb4WdlALldTkRd88tBRao37k,Agra-Lucknow Expressway,Agra-Lucknow,North India,premium_lavatory,tier_1,premium_restroom,0.95,602,Premium AC lavatory service,Premium AC lavatory service,e6ca0d9b-1bfe-41b0-8be3-3f40c73d68f7,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,Lavato,ChIJecRI8gvldTkRhRgU0wPzwvM,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJecRI8gvldTkRhRgU0wPzwvM,Agra-Lucknow Expressway,Agra-Lucknow,North India,premium_lavatory,tier_1,premium_restroom,0.95,671,Premium AC lavatory service,Premium AC lavatory service,b61d492a-234d-4d60-b549-54022a9b8a53,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,PATH Recharge,ChIJd6mPti1MrjsRZKNg2aF_nOo,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJd6mPti1MrjsRZKNg2aF_nOo,Bengaluru-Mysuru highway,Bengaluru-Mysuru,South India,wayside_amenity,tier_1,official_wayside_amenity,0.88,256,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,a536451f-c77d-417a-975b-489ea0f127ae,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,PATH Recharge,ChIJO6wdFjtNrjsRWnPFK2Jr7Uk,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJO6wdFjtNrjsRWnPFK2Jr7Uk,Bengaluru-Mysuru highway,Bengaluru-Mysuru,South India,wayside_amenity,tier_1,official_wayside_amenity,0.88,434,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,904684a1-fa19-4b43-8f3f-aec10d732a0b,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,PATH Recharge,ChIJGXIdgOVNrjsRhaEGgEztUzw,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJGXIdgOVNrjsRhaEGgEztUzw,Bengaluru-Mysuru highway,Bengaluru-Mysuru,South India,wayside_amenity,tier_1,official_wayside_amenity,0.88,753,Mall-like wayside amenities with EV charging,Mall-like wayside amenities with EV charging,2e70c553-a20f-45e9-8aca-ecba846ff975,2026-05-10T18:59:28.873+00:00,2026-05-10T18:59:28.873+00:00
public_candidate,likely_clean,Lavato,ChIJ8S25LQAH6DsRemv_UvpxRaw,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ8S25LQAH6DsRemv_UvpxRaw,MPE,Mumbai - Pune Expressway,India,premium_lavatory,tier_1,premium_restroom,0.95,361,Premium AC lavatory service,Premium AC lavatory service,069df206-cbef-4ea8-819a-f77f1550b994,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
public_candidate,likely_clean,Jio-bp,ChIJ43IuXQBlNToRNUkEA9-t4T4,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ43IuXQBlNToRNUkEA9-t4T4,NAM,Narketpally - Addanki - Medarametla Road,India,fuel_cafe,tier_1,premium_fuel_program,0.82,101,Modern mobility station with sanitized washrooms,Modern mobility station with sanitized washrooms,f963564a-67d4-490a-90ff-f07dbb60f5d9,2026-05-13T15:20:01.32+00:00,2026-05-13T15:20:01.32+00:00
public_candidate,likely_clean,Jio-bp,ChIJ-XkiCnlvNToRynhRb52HgvE,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ-XkiCnlvNToRynhRb52HgvE,NAM,Narketpally - Addanki - Medarametla Road,India,fuel_cafe,tier_1,premium_fuel_program,0.82,226,Modern mobility station with sanitized washrooms,Modern mobility station with sanitized washrooms,3dd81ab4-6126-4e1b-ab8c-2df7120a517b,2026-05-13T15:20:01.32+00:00,2026-05-13T15:20:01.32+00:00
public_candidate,likely_clean,Jio-bp,ChIJQ9lpYCSYYjkRE8Vmjnu06DE,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJQ9lpYCSYYjkRE8Vmjnu06DE,NH 347BG,Mortakka Bridge,India,fuel_cafe,tier_1,premium_fuel_program,0.82,45,Modern mobility station with sanitized washrooms,Modern mobility station with sanitized washrooms,2c7c943c-1c1b-41ad-bd4d-8a7d29da4c2b,2026-05-13T15:22:38.355+00:00,2026-05-13T15:22:38.355+00:00
public_candidate,likely_clean,Lavato,ChIJO013WmSg5jkRSXsc3t9RRno,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJO013WmSg5jkRSXsc3t9RRno,NH-10,RANGPO-GANGTOK Rd,India,premium_lavatory,tier_1,premium_restroom,0.95,817,Premium AC lavatory service,Premium AC lavatory service,d0ed0277-c112-4595-8dbf-a31f12e8c9f4,2026-05-11T08:46:56.515+00:00,2026-05-11T08:46:56.515+00:00
